Archduke,the Bastard,Archduchess,the Amazon,Adept,I
,,,,Crazy,the Assertive
,,,,Crusader,the Athletic
,,,,Cultist,the Authoritarian
,,,,Curator,the Available
,,,,Dac,the Avenger
,,,,Dak,the Average
,,,,Dark Keeper,the Aware
,,,,Dax,the Awesome
,,,,Deckhand,the Awkward
,,,,Designer,the Axe
,,,,Dictator,the Bad
,,,,Diplomat,the Balanced
,,,,Director,the Barren
,,,,Disciple,the Bashful
,,,,Dishwasher,the Beatnik
,,,,Doctor,the Befouler
,,,,Duelest,the Believer
,,,,Dungeon Master,the Belligerent
,,,,Dungeoneer,the Bender
,,,,Earth Keeper,the Benefactor
,,,,Editor,the Bent
,,,,Elder,the Big-headed
,,,,Elite,the Big-hearted
,,,,Enemy,the Bigoted
,,,,Engineer,the Bitchy
,,,,Envoy,the Bitter
,,,,Escort,the Black
,,,,Executioner,the Black Hand
,,,,Executor,the Bland
,,,,Exhibitor,the Blasted
,,,,Explorer,the Bloody
,,,,Farmer,the Blue
,,,,Fellow,the Blue Hand
,,,,Field Marshal,the Blunt
,,,,Fire Keeper,the Boastful
,,,,First Sergeant,the Boisterous
,,,,Foreman,the Bold
,,,,Friend,the Boring
,,,,Gatekeeper,the Bossy
,,,,General,the Brave
,,,,Geologist,the Bright
,,,,Gladiator,the Broken
,,,,Governor,the Bronze
,,,,Grand Marshal,the Brutal
,,,,Great,the Bully
,,,,Groundskeeper,the Busy
,,,,Grunt,the Callous
,,,,Guard,the Calm
,,,,Guard Captain,the Cannon
,,,,Guardian,the Cantankerous
,,,,Guide,the Capable
,,,,Guru,the Careless
,,,,Head Chef,the Casual
,,,,Heir,the Caustic
,,,,Helper,the Cautious
,,,,High Warlord,the Charismatic
,,,,Ice Keeper,the Charitable
,,,,Innkeeper,the Chaste
,,,,Inspector,the Cheap
,,,,Interpreter,the Cheerful
,,,,Interrogator,the Childish
,,,,Jailer,the Claw
,,,,Judge,the Clean
,,,,Junior Officer,the Clear
,,,,Keeper,the Clever
,,,,Knight,the Closed
,,,,Knight-Captain,the Clumsy
,,,,Knight-Champion,the Cold
,,,,Knight-Lieutenant,the Comedian
,,,,Lawyer,the Committed
,,,,Leader,the Compassionate
,,,,Legionnaire,the Competitive
,,,,Liberator,the Compulsive
,,,,Lieutenant Commander,the Con
,,,,Lieutenant General,the Conceited
,,,,Light Keeper,the Conceited
,,,,Little,the Concerned
,,,,Mad,the Concise
,,,,Maestro,the Condescending
,,,,Magistrate,the Confident
,,,,Major,the Conformist
,,,,Marshal,the Confused
,,,,Marshall,the Conservative
,,,,Master Sergeant,the Considerate
,,,,Max-Boss,the Content
,,,,Mayor,the Conventional
,,,,Medic,the Convict
,,,,Mercenary,the Cook
,,,,Merchant,the Cool
,,,,Mid-Boss,the Cooperative
,,,,Mid-Villain,the Copper
,,,,Min-Boss,the Corrupt
,,,,Miner,the Courageous
,,,,Minion,the Courteous
,,,,Minstrel,the Cripple
,,,,Mortician,the Crippled
,,,,Mountaineer,the Crude
,,,,Musician,the Cruel
,,,,Nurse,the Cunning
,,,,Officer,the Curious
,,,,Old,the Cursed
,,,,Oracle,the Cynical
,,,,Overlord,the Dainty
,,,,Paladin,the Daring
,,,,Pathfinder,the Dark
,,,,Patron,the Dead
,,,,Player,the Deadly
,,,,Poet,the Deceitful
,,,,Poor,the Decisive
,,,,Praetor,the Defensive
,,,,Premier,the Defiant
,,,,President,the Delicate
,,,,Priest,the Deluded
,,,,Prime,the Demanding
,,,,Prime Minister,the Demon
,,,,Prisoner,the Dependable
,,,,Private,the Dependent
,,,,Profesor,the Depraved
,,,,Professional,the Depressed
,,,,Prostitue,the Dervish
,,,,Protector,the Destroyer
,,,,Quartermaster,the Destructive
,,,,Raider,the Detached
,,,,Ranger,the Determined
,,,,Regent,the Devious
,,,,Registrar,the Diligent
,,,,Representative,the Diplomatic
,,,,Rogue,the Direct
,,,,Sailor,the Dirk
,,,,Sapper,the Dirty
,,,,Scout,the Disagreeable
,,,,Scribe,the Discerning
,,,,Secretary,the Discouraged
,,,,Senator,the Discreet
,,,,Senior Sergeant,the Disfigured
,,,,Sentinel,the Dishonest
,,,,Sentry,the Disturbed
,,,,Sergeant,the Docile
,,,,Sergeant Major,the Doomed
,,,,Servant,the Dramatic
,,,,Shopkeeper,the Dreaded
,,,,Sissy,the Dreamer
,,,,Slave,the Drifter
,,,,Soldier,the Drunk
,,,,Solicitor,the Dry
,,,,Speaker,the Dull
,,,,Special Agent,the Dumb
,,,,Standard,the Dummy
,,,,Stone Guard,the Dynamic
,,,,Storyteller,the Eccentric
,,,,Student,the Eclectic
,,,,Superintendent,the Effective
,,,,Supervisor,the Egotistical
,,,,Teacher,the Enchanted
,,,,Theorist,the Energetic
,,,,Tinker,the Enlightened
,,,,Torturer,the Enthusiastic
,,,,Trainee,the Epic
,,,,Trainer,the Evil
,,,,Treasurer,the Excellent
,,,,Vanguard,the Excited
,,,,Victor,the Expert
,,,,Warden,the Extraordinary
,,,,Warlord,the Extravagant
,,,,Watcher,the Exuberant
,,,,Young,the Fair
,,,,Zed,the Fake
,,,,,the Fallen
,,,,,the Famous
,,,,,the Fanatic
,,,,,the Fancy
,,,,,the Fascinating
,,,,,the Fast
,,,,,the Fat
,,,,,the Feared
,,,,,the Fearful
,,,,,the Fearless
,,,,,the Fertile
,,,,,the Fickle
,,,,,the Fighter
,,,,,the First
,,,,,the Fist
,,,,,the Fixed
,,,,,the Fixer
,,,,,the Flamboyant
,,,,,the Focused
,,,,,the Fool
,,,,,the Foolish
,,,,,the Forgetful
,,,,,the Formal
,,,,,the Fortress
,,,,,the Foul
,,,,,the Freak
,,,,,the Freaky
,,,,,the Friendly
,,,,,the Frugal
,,,,,the Frustrated
,,,,,the Fugitive
,,,,,the Funny
,,,,,the Furious
,,,,,the Furious
,,,,,the Gallant
,,,,,the Gambler
,,,,,the Gay
,,,,,the Generous
,,,,,the Genius
,,,,,the Gimpy
,,,,,the Glutton
,,,,,the Golden
,,,,,the Good
,,,,,the Gossip
,,,,,the Graceful
,,,,,the Gray
,,,,,the Great Tyrant
,,,,,the Greedy
,,,,,the Green
,,,,,the Green Hand
,,,,,the Grotesque
,,,,,the Grouchy
,,,,,the Grubby
,,,,,the Grumbler
,,,,,the Gullible
,,,,,the Halberd
,,,,,the Hammer
,,,,,the Hand
,,,,,the Hand of the King
,,,,,the Happy
,,,,,the Hard
,,,,,the Hated
,,,,,the Hater
,,,,,the Healthy
,,,,,the Heartbroken
,,,,,the Helpful
,,,,,the Helpless
,,,,,the Hideous
,,,,,the High
,,,,,the Hippy
,,,,,the Holy
,,,,,the Honest
,,,,,the Honorable
,,,,,the Horrible
,,,,,the Horrific
,,,,,the Hostile
,,,,,the Hot
,,,,,the Huge
,,,,,the Humble
,,,,,the Humorless
,,,,,the Humorous
,,,,,the Hypochondriac
,,,,,the Hysterical
,,,,,the Ignorant
,,,,,the Illiterate
,,,,,the Impatient
,,,,,the Imposter
,,,,,the Impure
,,,,,the Incomprehensible
,,,,,the Indecent
,,,,,the Indirect
,,,,,the Infamous
,,,,,the Insensitive
,,,,,the Iron
,,,,,the Jester
,,,,,the Joker
,,,,,the Jolly
,,,,,the Jumpy
,,,,,the Key
,,,,,the Kind
,,,,,the Lance
,,,,,the Lantern
,,,,,the Lazy
,,,,,the Learned
,,,,,the Legendary
,,,,,the Liar
,,,,,the Light
,,,,,the Little
,,,,,the Logical
,,,,,the Lonely
,,,,,the Loner
,,,,,the Loser
,,,,,the Loud
,,,,,the Loved
,,,,,the Lover
,,,,,the Low
,,,,,the Loyal
,,,,,the Lucky
,,,,,the Lunatic
,,,,,the Mad
,,,,,the Magnificent
,,,,,the Maker
,,,,,the Malicious
,,,,,the Malignant
,,,,,the Maniac
,,,,,the Manic
,,,,,the Masochist
,,,,,the Masochistic
,,,,,the Masterful
,,,,,the Mean
,,,,,the Mediocre
,,,,,the Meek
,,,,,the Melodramatic
,,,,,the Merciless
,,,,,the Messy
,,,,,the Mischievous
,,,,,the Mistake
,,,,,the Modest
,,,,,the Moody
,,,,,the Moon
,,,,,the Morbid
,,,,,the Motivated
,,,,,the Mundane
,,,,,the Muse
,,,,,the Musical
,,,,,the Mute
,,,,,the Mysterious
,,,,,the Naïve
,,,,,the Neat
,,,,,the Negative
,,,,,the Nervous
,,,,,the Neurotic
,,,,,the Neutral
,,,,,the Nice
,,,,,the Normal
,,,,,the Obedient
,,,,,the Objective
,,,,,the Obnoxious
,,,,,the Obscene
,,,,,the Observant
,,,,,the Obsessed
,,,,,the Obsessive
,,,,,the Obstinate
,,,,,the Obvious
,,,,,the Offensive
,,,,,the Old
,,,,,the One
,,,,,the Open
,,,,,the Oppressed
,,,,,the Oppressor
,,,,,the Optimistic
,,,,,the Ordinary
,,,,,the Outlaw
,,,,,the Painful
,,,,,the Painless
,,,,,the Paranoid
,,,,,the Partisan
,,,,,the Passionate
,,,,,the Passive
,,,,,the Pathetic
,,,,,the Patient
,,,,,the Peculiar
,,,,,the Perceptive
,,,,,the Perfectionist
,,,,,the Perky
,,,,,the Pessimistic
,,,,,the Pious
,,,,,the Pitiful
,,,,,the Plain
,,,,,the Positive
,,,,,the Precise
,,,,,the Presumptuous
,,,,,the Pretentious
,,,,,the Prodigy
,,,,,the Proud
,,,,,the Psychotic
,,,,,the Pure
,,,,,the Queer
,,,,,the Quick
,,,,,the Quiet
,,,,,the Radical
,,,,,the Raging
,,,,,the Random
,,,,,the Rash
,,,,,the Rational
,,,,,the Razor
,,,,,the Realistic
,,,,,the Rebel
,,,,,the Reckless
,,,,,the Red
,,,,,the Red Hand
,,,,,the Redundant
,,,,,the Relentless
,,,,,the Reliable
,,,,,the Repulsive
,,,,,the Resentful
,,,,,the Resilient
,,,,,the Revolting
,,,,,the Righteous
,,,,,the Rigid
,,,,,the Rival
,,,,,the Romantic
,,,,,the Rude
,,,,,the Runt
,,,,,the Ruthless
,,,,,the Sad
,,,,,the Sadistic
,,,,,the Sarcastic
,,,,,the Scared
,,,,,the Scarred
,,,,,the Screwdriver
,,,,,the Second
,,,,,the Selfish
,,,,,the Sensible
,,,,,the Sensitive
,,,,,the Serious
,,,,,the Sharp
,,,,,the Shattered
,,,,,the Shield
,,,,,the Shinning
,,,,,the Short
,,,,,the Shy
,,,,,the Silly
,,,,,the Silver
,,,,,the Simple
,,,,,the Skeptical
,,,,,the Skillful
,,,,,the Skinny
,,,,,the Slayer
,,,,,the Slow
,,,,,the Smart
,,,,,the Smelly
,,,,,the Smug
,,,,,the Snob
,,,,,the Soft
,,,,,the Solemn
,,,,,the Sorry
,,,,,the Sour
,,,,,the Stable
,,,,,the Standard
,,,,,the Star
,,,,,the Steel
,,,,,the Storm
,,,,,the Straight
,,,,,the Strange
,,,,,the Stranger
,,,,,the Strong
,,,,,the Stupid
,,,,,the Suicidal
,,,,,the Superficial
,,,,,the Superstitious
,,,,,the Survivor
,,,,,the Swift
,,,,,the Sword
,,,,,the Talented
,,,,,the Tall
,,,,,the Temperate
,,,,,the Thief
,,,,,the Third
,,,,,the Three
,,,,,the Timid
,,,,,the Tireless
,,,,,the Tough
,,,,,the Tower
,,,,,the Treacherous
,,,,,the Trusting
,,,,,the Two
,,,,,the Tyrant
,,,,,the Ugly
,,,,,the Unbeliever
,,,,,the Unhappy
,,,,,the Unhealthy
,,,,,the Unified
,,,,,the Unknown
,,,,,the Unlucky
,,,,,the Unremarkable
,,,,,the Unscrupulous
,,,,,the Unselfish
,,,,,the Unsightly
,,,,,the Unstable
,,,,,the Uptight
,,,,,the Vain
,,,,,the Vibrant
,,,,,the Vicious
,,,,,the Victor
,,,,,the Vile
,,,,,the Villain
,,,,,the Violent
,,,,,the Virgin
,,,,,the Visionary
,,,,,the Volatile
,,,,,the Vulgar
,,,,,the Wacky
,,,,,the Waker
,,,,,the Wall
,,,,,the Wanderer
,,,,,the Warm
,,,,,the Wasted
,,,,,the Watcher
,,,,,the Weak
,,,,,the Wealthy
,,,,,the Weed
,,,,,the Weird
,,,,,the Wet
,,,,,the White
,,,,,the White Hand
,,,,,the Wild
,,,,,the Winner
,,,,,the Wise
,,,,,the Wonderful
,,,,,the Worthless
,,,,,the Wrench
,,,,,the Yellow
,,,,,the Young
,,,,,the Zealot
,,,,,the Zed
,,,,,V
,,,,,VI
,,,,,VII
,,,,,VIII
,,,,,X
,,,,,Zed
